,amount (near)
692,38.9
693,20.9
694,23.0
695,23.0
696,22.3
697,22.3
698,38.9
699,6.300000000000001
700,37.5
701,6.300000000000001
702,17.4
703,41.7
704,41.7
705,17.4
706,2.1
707,2.1
708,2.1
709,24.4
710,53.0
711,12.5
712,13.9
713,0.0
714,12.0
715,0.0
716,40.00000000000001
717,40.00000000000001
718,66.0
719,35.0
720,18.0
721,72.0
722,71.0
723,78.0
724,70.0
725,18.0
726,9.0
727,72.0
728,54.0
729,15.0
730,25.9
731,20.7
732,14.0
733,13.0
734,14.7
735,16.0
736,25.9
737,138.0
738,10.8
739,14.5
740,25.9
741,21.0
742,25.7
743,25.9
744,25.9
745,16.3
746,25.9
747,17.3
748,3.0
749,25.9
750,48.7
751,41.7
752,5.2
753,21.0
754,25.9
755,25.9
756,25.9
757,10.4
758,25.9
759,8.200000000000001
760,10.4
761,16.4
762,11.3
763,26.0
764,25.9
765,13.8
766,14.1
767,41.7
768,24.4
769,17.0
770,20.0
771,41.7
772,25.9
773,25.9
774,25.9
775,7.8
776,25.0
777,25.6
778,25.9
779,25.0
780,32.8
781,119.0
782,18.0
783,12.9
784,12.0
785,13.9
786,25.0
787,25.0
788,25.9
789,25.9
790,25.9
791,24.6
792,20.7
793,12.4
794,11.3
795,12.8
796,23.8
797,16.9
798,15.4
799,16.0
800,16.7
801,15.6
802,6.9
803,6.9
804,15.6
805,8.7
806,8.7
807,10.4
808,8.200000000000001
809,11.7
810,10.4
811,1.3
812,0.9
813,10.4
814,10.4
815,10.4
816,10.4
817,16.0
818,12.1
819,4.4
820,4.4
821,29.5
822,8.7
823,23.0
824,11.3
825,3.5
826,3.1
827,8.7
828,19.4
829,8.7
830,8.7
831,19.4
832,7.8
833,8.7
834,19.4
835,14.5
836,17.27
837,17.8
838,41.7
839,25.9
840,25.9
841,7.8
842,0.9
843,12.6
844,41.8
845,10.0
846,14.3
847,29.0
848,16.0
849,25.0
850,86.0
851,118.2
852,8.7
878,500.0
899,300.0
900,400.0
901,300.0
902,300.0
903,300.0
904,300.0
905,300.0
906,300.0
907,300.0
908,300.0
909,300.0
910,300.0
911,300.0
912,300.0
913,400.0
914,300.0
915,300.0
916,300.0
917,300.0
918,400.0
919,300.0
920,300.0
921,300.0
922,300.0
923,300.0
924,300.0
925,300.0
926,300.0
927,400.0
928,300.0
929,300.0
930,300.0
931,300.0
932,300.0
933,300.0
934,300.0
935,300.0
936,300.0
937,300.0
938,300.0
939,300.0
940,300.0
941,200.0
942,300.0
943,300.0
944,300.0
945,400.0
946,300.0
947,300.0
948,400.0
949,300.0
950,300.0
951,300.0
952,300.0
953,300.0
954,300.0
955,300.0
956,300.0
957,300.0
958,300.0
959,300.0
960,300.0
961,300.0
962,300.0
963,300.0
964,300.0
965,300.0
966,400.0
967,300.0
968,300.0
969,300.0
970,300.0
971,300.0
972,300.0
973,300.0
974,300.0
975,300.0
976,400.0
977,300.0
978,300.0
979,300.0
980,300.0
981,300.0
982,300.0
983,300.0
984,300.0
985,300.0
986,300.0
987,300.0
988,300.0
989,300.0
990,300.0
991,300.0
992,300.0
993,200.0
994,300.0
995,200.0
996,10.0
998,500.0
1004,200.0
1010,0.0
1011,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,295.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,30.0
1035,0.0
1036,0.0
1037,0.0
1038,8.0
1039,1.0
1040,100.0
1041,0.0
1042,35.0
1043,0.0
1044,0.0
1045,300.0
1046,0.0
1048,1.0
1049,1.0
1050,1.0
1052,0.0
1053,400.0
1055,1.0
1056,0.0
1057,333.0000000000001
1058,8.0
1059,8.0
1060,10.0
1061,0.0
1062,1.0
1069,1.0
1072,0.0
1073,0.0
1074,250.0
1075,275.0
1076,10.0
1077,10.0
1078,100.0
1079,10.0
1080,10.0
1081,10.0
1082,0.0
1083,0.0
1084,10.0
1085,20.0
1086,10.0
1087,10.0
1088,500.0
1089,10.0
1090,0.0
1091,0.0
1092,500.0
1093,20.0
1094,10.0
1095,10.0
1096,20.0
1097,0.0
1098,20.0
1099,10.0
1100,11.0
1101,11.0
1102,30.0
1103,40.00000000000001
1104,10.0
1105,10.0
1106,8.0
1107,0.0
1108,100.0
1109,0.0
1110,350.0
1111,670.0
1112,310.0
1113,0.0
1114,0.0
1115,0.0
1116,275.0
1117,20.0
1118,350.0
1119,80.00000000000001
1120,20.0
1121,130.0
1122,100.0
1123,475.0000000000001
1124,700.0
1125,100.0
1126,100.0
1127,100.0
1128,150.0
1129,100.0
1130,10.0
1131,50.0
1132,100.0
1133,300.0
1134,100.0
1135,150.0
1136,0.0
1137,0.0
1138,100.0
1139,101.0
1140,300.0
1141,100.0
1142,100.0
1143,100.0
1144,300.0
1145,300.0
1146,100.0
1147,250.0
1148,250.0
1149,150.0
1150,150.0
1151,300.0
1152,60.0
1153,360.0000000000001
1154,300.0
1155,150.0
1156,90.00000000000001
1157,30.0
1158,30.0
1159,30.0
1160,30.0
1161,30.0
1162,140.0
1163,96.0
1164,138.0
1165,45.75163398692811
1166,20.0
1167,30.0
1168,30.0
1169,30.0
1170,40.00000000000001
1171,30.0
1172,38.0
1173,20.0
1174,84.0
1175,33.0
1176,46.0
1177,420.0
1178,353.0
1181,358.0
1182,65.0
1183,137.0
1191,10.0
1192,10.0
1193,10.0
1194,10.0
1195,10.0
1196,10.0
1197,10.0
1198,10.0
1199,10.0
1200,10.0
1201,7.000000000000001
1202,10.0
1203,10.0
1204,0.0
1205,0.0
1206,1.0
1207,25.0
1208,0.0
1209,10.0
1210,10.0
1211,10.0
1212,10.0
1213,10.0
1214,10.0
1215,8.0
1216,10.0
1217,10.0
1218,10.0
1219,10.0
1220,10.0
1221,10.0
1222,0.0
1223,5.000000000000001
1224,10.0
1225,10.0
1226,10.0
1227,7.000000000000001
1228,0.0
1229,5.000000000000001
1230,5.000000000000001
1231,10.0
1232,0.0
1233,5.000000000000001
1234,5.000000000000001
1235,5.000000000000001
1236,5.000000000000001
1237,5.000000000000001
1238,5.000000000000001
1239,5.000000000000001
1240,5.000000000000001
1241,5.000000000000001
1242,15.0
1243,5.000000000000001
1244,100.0
1245,5.000000000000001
1246,0.0
1247,10.0
1248,10.0
1249,5.000000000000001
1250,5.000000000000001
1251,5.000000000000001
1252,10.0
1253,5.000000000000001
1254,5.000000000000001
1255,5.000000000000001
1256,5.000000000000001
1257,2.0
1258,5.000000000000001
1259,5.000000000000001
1260,25.0
1261,0.0
1262,5.000000000000001
1263,5.000000000000001
1264,5.000000000000001
1265,5.000000000000001
1266,5.000000000000001
1267,5.000000000000001
1268,5.000000000000001
1269,10.0
1270,5.000000000000001
1271,25.0
1272,5.000000000000001
1273,25.0
1274,25.0
1275,150.0
1276,10.0
1277,5.000000000000001
1278,10.0
1279,5.000000000000001
1280,10.0
1281,5.000000000000001
1282,5.000000000000001
1283,5.000000000000001
1284,5.000000000000001
1285,0.0
1286,150.0
1287,5.000000000000001
1288,90.00000000000001
1289,100.0
1290,5.000000000000001
1291,5.000000000000001
1292,5.000000000000001
1293,5.000000000000001
1294,10.0
1295,110.0
1296,5.000000000000001
1297,5.000000000000001
1298,5.000000000000001
1299,150.0
1300,235.0
1301,25.0
1302,100.0
1303,0.0
1304,50.0
1305,5.000000000000001
1306,5.000000000000001
1307,60.0
1308,10.0
1309,100.0
1310,0.0
1311,5.000000000000001
1312,15.0
1313,15.0
1314,5.000000000000001
1315,5.000000000000001
1316,5.000000000000001
1317,100.0
1320,5.000000000000001
1321,5.000000000000001
1322,5.000000000000001
1323,5.000000000000001
1324,20.0
1326,50.0
1327,20.0
1330,5.000000000000001
1331,10.0
1332,100.0
1333,100.0
1335,10.0
1336,5.000000000000001
1337,5.000000000000001
1338,10.0
1339,5.000000000000001
1340,5.000000000000001
1341,10.0
1342,5.000000000000001
1343,5.000000000000001
1344,1.0
1345,0.0
1346,0.0
1347,10.0
1348,5.000000000000001
1349,5.000000000000001
1350,95.0
1351,25.0
1352,50.0
1353,25.0
1354,8.0
1355,85.00000000000001
1356,8.0
1357,8.0
1358,8.0
1359,8.0
1360,8.0
1361,140.0
1362,8.0
1363,7.000000000000001
1364,8.0
1365,10.0
1366,30.0
1367,100.0
1368,8.0
1369,8.0
1370,8.0
1371,5.000000000000001
1372,5.000000000000001
1373,6.0
1374,8.0
1375,8.0
1376,1.0
1377,7.000000000000001
1378,8.0
1379,8.0
1380,100.0
1381,30.0
1382,8.0
1383,20.0
1384,5.000000000000001
1385,8.0
1386,8.0
1387,8.0
1388,8.0
1389,8.0
1390,8.0
1391,8.0
1392,8.0
1393,8.0
1394,8.0
1395,8.0
1396,8.0
1397,8.0
1398,8.0
1399,200.0
1400,8.0
1401,8.0
1402,8.0
1403,8.0
1404,8.0
1405,8.0
1406,25.0
1407,8.0
1408,8.0
1409,8.0
1410,40.00000000000001
1411,10.0
1412,50.0
1413,8.0
