,Days
534,28.0
535,23.0
538,80.0
93,19.0
93,12.0
94,6.0
1136,0.0
1136,7.0
541,26.0
545,27.0
1137,4.0
203,21.0
364,3.0
549,28.0
1014,7.0
98,11.0
101,14.0
554,22.0
555,3.0
556,14.0
103,61.0
366,12.0
366,12.0
266,23.0
268,22.0
204,22.0
205,12.0
206,17.0
206,15.0
207,30.0
104,6.0
104,6.0
1597,27.0
270,7.0
1138,10.0
560,26.0
563,31.0
1141,5.0
567,2.0
568,84.0
1143,3.0
569,28.0
1144,68.0
570,5.0
271,41.0
1598,5.0
1598,5.0
571,17.0
1599,4.0
1600,19.0
1601,19.0
866,28.0
1602,20.0
573,32.0
867,9.0
574,4.0
575,82.0
869,5.0
1604,5.0
1605,11.0
577,23.0
272,23.0
870,29.0
871,29.0
871,29.0
872,27.0
874,29.0
876,28.0
107,8.0
107,8.0
877,28.0
900,4.0
902,30.0
903,31.0
905,2.0
906,32.0
911,8.0
916,60.0
918,1.0
922,64.0
108,1.0
108,10.0
930,31.0
931,7.0
932,35.0
1606,33.0
582,12.0
109,28.0
208,6.0
209,20.0
209,20.0
210,51.0
210,0.0
273,8.0
586,31.0
369,46.0
934,30.0
110,16.0
110,15.0
588,1.0
879,30.0
591,30.0
593,31.0
1146,25.0
595,36.0
596,4.0
597,10.0
111,7.0
111,7.0
112,6.0
112,6.0
211,25.0
211,19.0
1147,5.0
212,1.0
1149,25.0
607,5.0
1607,25.0
1607,47.0
275,35.0
1608,14.0
276,7.0
113,14.0
114,16.0
114,16.0
941,5.0
277,5.0
609,19.0
115,14.0
1150,23.0
1150,4.0
1151,11.0
1609,7.0
1610,10.0
1611,2.0
116,5.0
116,6.0
1612,0.0
611,7.0
214,3.0
370,21.0
215,41.0
215,41.0
117,21.0
117,21.0
1153,3.0
1154,8.0
1154,40.0
119,10.0
217,5.0
217,5.0
120,11.0
121,7.0
121,32.0
122,20.0
123,20.0
124,20.0
125,43.0
126,0.0
126,13.0
279,13.0
371,3.0
371,3.0
280,33.0
1155,25.0
127,13.0
127,8.0
219,2.0
281,18.0
1156,6.0
221,7.0
221,7.0
943,1.0
612,13.0
129,37.0
129,2.0
130,3.0
1066,74.0
222,45.0
222,4.0
282,43.0
283,63.0
284,42.0
284,42.0
132,64.0
133,5.0
134,21.0
285,31.0
286,22.0
286,69.0
1182,24.0
288,7.0
1157,13.0
224,42.0
224,42.0
613,24.0
613,24.0
135,17.0
614,28.0
1158,4.0
1161,28.0
1183,2.0
136,16.0
136,16.0
137,3.0
289,26.0
138,13.0
138,13.0
615,28.0
616,25.0
1618,4.0
139,25.0
1619,23.0
617,28.0
1621,35.0
140,6.0
1622,28.0
618,81.0
619,29.0
620,27.0
880,28.0
880,28.0
881,33.0
881,23.0
882,29.0
1163,26.0
883,29.0
141,3.0
884,29.0
885,30.0
886,31.0
887,5.0
888,30.0
623,2.0
624,4.0
625,29.0
626,30.0
627,28.0
290,6.0
630,37.0
631,43.0
632,3.0
633,30.0
635,28.0
636,61.0
637,42.0
638,42.0
639,28.0
641,33.0
